Age,AnnualIncome,SpendingScore,PurchaseFrequency,TotalSpend
22,25000,85,18,45000
25,32000,78,15,38000
28,45000,92,22,65000
35,60000,65,12,42000
42,75000,40,8,30000
30,50000,70,16,50000
48,90000,30,5,22000
55,100000,25,4,18000
26,28000,88,20,52000
31,55000,75,17,58000
38,68000,55,10,39000
45,82000,35,7,27000
24,30000,90,21,60000
29,47000,82,19,62000
33,58000,68,14,47000
40,72000,45,9,35000
52,95000,20,3,15000
27,36000,86,18,49000
36,64000,60,11,41000
44,78000,38,6,25000
23,27000,95,24,70000
34,62000,72,15,53000
47,88000,28,5,20000
50,92000,32,6,24000
21,22000,80,16,36000
39,70000,58,12,44000
32,52000,76,17,55000
46,85000,42,8,32000
37,66000,63,13,46000
54,98000,22,4,17000
